expire_at,lap,meta_event,meta_session,meta_source,meta_time,original_vehicle_id,outing,telemetry_name,telemetry_value,timestamp,vehicle_id,vehicle_number
,2,I_R06_2025-09-07,R1,kafka:gr-raw,2025-09-06T18:40:01.541Z,GR86-022-13,0,VBOX_Long_Minutes,-86.62081909179688,2025-09-05T00:42:29.258Z,GR86-022-13,13
,2,I_R06_2025-09-07,R1,kafka:gr-raw,2025-09-06T18:40:03.731Z,GR86-022-13,0,VBOX_Lat_Min,33.530338287353516,2025-09-05T00:42:29.387Z,GR86-022-13,13
,2,I_R06_2025-09-07,R1,kafka:gr-raw,2025-09-06T18:40:03.731Z,GR86-022-13,0,VBOX_Long_Minutes,-86.6208724975586,2025-09-05T00:42:29.474Z,GR86-022-13,13
,2,I_R06_2025-09-07,R1,kafka:gr-raw,2025-09-06T18:40:03.731Z,GR86-022-13,0,VBOX_Lat_Min,33.53031539916992,2025-09-05T00:42:29.604Z,GR86-022-13,13
,2,I_R06_2025-09-07,R1,kafka:gr-raw,2025-09-06T18:40:03.731Z,GR86-022-13,0,VBOX_Long_Minutes,-86.6209487915039,2025-09-05T00:42:29.735Z,GR86-022-13,13
,2,I_R06_2025-09-07,R1,kafka:gr-raw,2025-09-06T18:40:03.731Z,GR86-022-13,0,VBOX_Lat_Min,33.53029251098633,2025-09-05T00:42:29.821Z,GR86-022-13,13
,2,I_R06_2025-09-07,R1,kafka:gr-raw,2025-09-06T18:40:03.731Z,GR86-022-13,0,VBOX_Long_Minutes,-86.62097930908203,2025-09-05T00:42:29.907Z,GR86-022-13,13
,2,I_R06_2025-09-07,R1,kafka:gr-raw,2025-09-06T18:40:03.732Z,GR86-022-13,0,VBOX_Lat_Min,33.53025436401367,2025-09-05T00:42:30.038Z,GR86-022-13,13
,2,I_R06_2025-09-07,R1,kafka:gr-raw,2025-09-06T18:40:03.732Z,GR86-022-13,0,VBOX_Long_Minutes,-86.62102508544922,2025-09-05T00:42:30.124Z,GR86-022-13,13
,2,I_R06_2025-09-07,R1,kafka:gr-raw,2025-09-06T18:40:03.732Z,GR86-022-13,0,VBOX_Lat_Min,33.53022384643555,2025-09-05T00:42:30.255Z,GR86-022-13,13
,2,I_R06_2025-09-07,R1,kafka:gr-raw,2025-09-06T18:40:03.732Z,GR86-022-13,0,VBOX_Long_Minutes,-86.62110900878906,2025-09-05T00:42:30.341Z,GR86-022-13,13
,2,I_R06_2025-09-07,R1,kafka:gr-raw,2025-09-06T18:40:03.732Z,GR86-022-13,0,VBOX_Lat_Min,33.53019332885742,2025-09-05T00:42:30.470Z,GR86-022-13,13
,2,I_R06_2025-09-07,R1,kafka:gr-raw,2025-09-06T18:40:03.732Z,GR86-022-13,0,VBOX_Long_Minutes,-86.62115478515625,2025-09-05T00:42:30.556Z,GR86-022-13,13
